	model	pairid	expected	unexpected	diff	acc
0	bert-base-uncased	1	3.6406643727532355	4.298080737595088	-0.6574163648418523	True
1	bert-base-uncased	2	3.7114800811172106	5.047394163763294	-1.3359140826460836	True
2	bert-base-uncased	3	3.8138814910243335	4.651807866560725	-0.8379263755363917	True
3	bert-base-uncased	4	2.4894621494625295	3.7251517506582394	-1.23568960119571	True
4	bert-base-uncased	5	2.8793608157161192	2.7595752011268186	0.11978561458930059	False
5	bert-base-uncased	6	3.538670325838701	4.661914562604999	-1.1232442367662983	True
6	bert-base-uncased	7	3.8947484528336926	4.080349865110363	-0.18560141227667026	True
7	bert-base-uncased	8	2.098047003702959	1.890064409891368	0.20798259381159112	False
8	bert-base-uncased	9	2.691396440880803	3.3075483206910294	-0.6161518798102263	True
9	bert-base-uncased	10	3.87629694797327	4.528567381418095	-0.652270433444825	True
10	bert-base-uncased	11	3.797742679500236	4.575232529941086	-0.7774898504408503	True
11	bert-base-uncased	12	2.1431434975238517	3.036428287184598	-0.8932847896607461	True
12	bert-base-uncased	13	3.342120864965881	4.328339891866422	-0.9862190269005411	True
13	bert-base-uncased	14	4.351274566966122	5.414197684014932	-1.0629231170488103	True
14	bert-base-uncased	15	3.8107745152754853	6.033083861263899	-2.2223093459884136	True
15	bert-base-uncased	16	2.730246124922165	3.391427862457931	-0.6611817375357663	True
16	bert-base-uncased	17	2.3852429408580065	2.9867345578968525	-0.601491617038846	True
17	bert-base-uncased	18	3.146164092169264	4.082689287806196	-0.936525195636932	True
18	bert-base-uncased	19	2.9018292678520083	4.754479778930545	-1.8526505110785365	True
19	bert-base-uncased	20	3.2306574099431082	4.524128404046808	-1.2934709941036995	True
20	bert-base-uncased	21	4.023252631105536	4.876867768730825	-0.8536151376252885	True
21	bert-base-uncased	22	4.340047511558693	5.627957529101807	-1.2879100175431137	True
22	bert-base-uncased	23	4.1771560070606375	5.202712792616624	-1.0255567855559864	True
23	bert-base-uncased	24	3.116163693368435	4.291767719068697	-1.1756040257002622	True
24	bert-base-uncased	25	3.2578049669033273	3.900065121413298	-0.6422601545099709	True
25	bert-base-uncased	26	4.167411522802118	5.126474815320062	-0.9590632925179445	True
26	bert-base-uncased	27	4.28573120083624	4.9492729813053025	-0.6635417804690622	True
27	bert-base-uncased	28	3.093322385308316	3.5435984371787135	-0.45027605187039743	True
28	bert-base-uncased	29	3.6543015740955105	4.508107190271123	-0.8538056161756127	True
29	bert-base-uncased	30	4.337926094245072	5.106614778301894	-0.7686886840568219	True
30	bert-base-uncased	31	4.184074281625306	4.950783618725836	-0.7667093371005302	True
31	bert-base-uncased	32	3.0038401036124145	3.8331756791365996	-0.8293355755241851	True
32	bert-base-uncased	33	3.9429918632914243	5.143618558461849	-1.200626695170425	True
33	bert-base-uncased	34	4.764676595624993	6.139277071602499	-1.3746004759775063	True
34	bert-base-uncased	35	4.711044324526133	6.7252049053517675	-2.014160580825634	True
35	bert-base-uncased	36	3.4221932741680314	4.278987825049886	-0.8567945508818546	True
36	bert-base-uncased	37	2.9642517109002386	3.5171217173337936	-0.552870006433555	True
37	bert-base-uncased	38	3.908170662536577	4.84963129008455	-0.9414606275479729	True
38	bert-base-uncased	39	3.4896381363006577	4.803647952154279	-1.314009815853621	True
39	bert-base-uncased	40	3.8817607876844704	5.175929408786552	-1.2941686211020818	True
40	bert-base-uncased	41	4.332373084628041	5.020714191343779	-0.6883411067157379	True
41	bert-base-uncased	42	4.28280729155701	5.608467651244539	-1.3256603596875296	True
42	bert-base-uncased	43	4.384780480239827	5.383809212595224	-0.9990287323553977	True
43	bert-base-uncased	44	3.1501709584678923	4.365742076188326	-1.2155711177204336	True
44	bert-base-uncased	45	3.9295360115910833	3.8107141240672298	0.11882188752385359	False
45	bert-base-uncased	46	4.500853041103535	5.706229248839708	-1.2053762077361734	True
46	bert-base-uncased	47	4.6137977305099	4.834852196842034	-0.22105446633213433	True
47	bert-base-uncased	48	3.179360075963944	3.0731144947110027	0.10624558125294126	False
48	bert-base-uncased	49	4.09689354402228	4.815468209974754	-0.7185746659524739	True
49	bert-base-uncased	50	4.647123989471975	5.35153339505912	-0.7044094055871453	True
50	bert-base-uncased	51	4.473841353821067	5.209819896970517	-0.7359785431494501	True
51	bert-base-uncased	52	3.148977980450062	3.98413711061169	-0.8351591301616281	True
52	bert-base-uncased	53	4.230138367149406	5.275148610512797	-1.0450102433633912	True
53	bert-base-uncased	54	4.878436122732707	6.082149526695362	-1.203713403962655	True
54	bert-base-uncased	55	4.95559892258965	7.19086499655476	-2.23526607396511	True
55	bert-base-uncased	56	3.505760495085269	4.263424925639161	-0.7576644305538922	True
56	bert-base-uncased	57	3.516274823674134	3.9404465800949504	-0.4241717564208165	True
57	bert-base-uncased	58	4.102861876130971	5.059372060400035	-0.9565101842690638	True
58	bert-base-uncased	59	3.777365030920399	5.443206674286297	-1.6658416433658978	True
59	bert-base-uncased	60	4.11216105121587	5.454236824065447	-1.3420757728495767	True
60	bert-base-uncased	61	4.1736064505177914	4.951580278826161	-0.7779738283083697	True
61	bert-base-uncased	62	4.154045656609994	5.387412587467295	-1.2333669308573008	True
62	bert-base-uncased	63	4.534594851474349	5.462034954474523	-0.9274401030001735	True
63	bert-base-uncased	64	3.1259018776140044	4.201505589698042	-1.075603712084038	True
64	bert-base-uncased	65	3.772254842867439	3.7417721541390234	0.030482688728415752	False
65	bert-base-uncased	66	4.284697076829056	5.309958887158875	-1.0252618103298188	True
66	bert-base-uncased	67	4.659491281609427	4.801685811913698	-0.14219453030427065	True
67	bert-base-uncased	68	2.9291137201040067	2.7626469801642606	0.16646673993974614	False
68	bert-base-uncased	69	4.0725543351055915	4.844797534653201	-0.7722431995476091	True
69	bert-base-uncased	70	4.396932412388336	5.069866453261616	-0.6729340408732796	True
70	bert-base-uncased	71	4.878620783583476	5.371036167399814	-0.4924153838163381	True
71	bert-base-uncased	72	2.836556533201864	3.598248984847617	-0.7616924516457533	True
72	bert-base-uncased	73	4.4058695844589515	5.451792657661897	-1.0459230732029452	True
73	bert-base-uncased	74	4.914607576590452	6.036483449825587	-1.121875873235135	True
74	bert-base-uncased	75	5.014665187193224	6.9734534639148755	-1.9587882767216511	True
75	bert-base-uncased	76	3.7162159853614867	4.264990028991763	-0.5487740436302762	True
76	bert-base-uncased	77	3.2987504910145486	3.8395553273814067	-0.540804836366858	True
77	bert-base-uncased	78	3.85541163067007	4.7566888416185975	-0.9012772109485274	True
78	bert-base-uncased	79	3.5184614790736566	5.113814819071974	-1.5953533399983177	True
79	bert-base-uncased	80	4.256750400643796	5.498933411602463	-1.2421830109586676	True
80	bert-base-uncased	81	3.8511058815582566	4.533484648608674	-0.6823787670504173	True
81	bert-base-uncased	82	4.076490795526367	5.3367021060906925	-1.2602113105643253	True
82	bert-base-uncased	83	4.35297513480943	5.373058219368641	-1.0200830845592108	True
83	bert-base-uncased	84	2.8728263213166167	4.018847888069494	-1.1460215667528768	True
84	bert-base-uncased	85	3.2387495520356775	3.2845982420683586	-0.045848690032681105	True
85	bert-base-uncased	86	3.9924456663312204	5.082272077982243	-1.0898264116510221	True
86	bert-base-uncased	87	4.182731303058972	4.395423576653299	-0.2126922735943273	True
87	bert-base-uncased	88	2.746662643520852	2.6863001361780334	0.06036250734281845	False
88	bert-base-uncased	89	3.5009143734709003	4.220790083341014	-0.7198757098701138	True
89	bert-base-uncased	90	4.250418611888913	4.934810209052207	-0.6843915971632946	True
90	bert-base-uncased	91	4.280419242514584	5.052201522944065	-0.7717822804294814	True
91	bert-base-uncased	92	2.862681734708271	3.5835705765057355	-0.7208888417974646	True
92	bert-base-uncased	93	3.828924329449924	4.99149648924	-1.1625721597900762	True
93	bert-base-uncased	94	4.581418427015216	5.67247370372598	-1.0910552767107635	True
94	bert-base-uncased	95	4.59448546407601	6.692387230980855	-2.0979017669048448	True
95	bert-base-uncased	96	3.292504854899432	3.9577132582531442	-0.6652084033537125	True
96	bert-base-uncased	97	2.9422058867556706	3.424943596124649	-0.4827377093689784	True
97	bert-base-uncased	98	3.7798327475341336	4.626127978786826	-0.8462952312526926	True
98	bert-base-uncased	99	3.5932105109095573	5.0582513614956826	-1.4650408505861252	True
99	bert-base-uncased	100	3.894488036499492	5.128721009407725	-1.234232972908233	True
100	bert-base-uncased	101	3.683361098090245	4.441747946861701	-0.7583868487714565	True
101	bert-base-uncased	102	4.028445409969068	5.145098664153081	-1.1166532541840128	True
102	bert-base-uncased	103	4.4059719468395295	5.313134779723791	-0.9071628328842616	True
103	bert-base-uncased	104	3.0700140297412872	4.166801446250507	-1.09678741650922	True
104	bert-base-uncased	105	3.199461484876408	3.441079537055115	-0.24161805217870702	True
105	bert-base-uncased	106	4.087430507877098	5.071957777180405	-0.9845272693033067	True
106	bert-base-uncased	107	4.437758889822782	4.533543301935424	-0.09578441211264188	True
107	bert-base-uncased	108	3.065527144846523	3.0493047390128987	0.016222405833624443	False
108	bert-base-uncased	109	3.6585390418409727	4.3287805400681325	-0.6702414982271598	True
109	bert-base-uncased	110	4.191654772644072	4.928978640138387	-0.7373238674943146	True
110	bert-base-uncased	111	4.505484745264626	5.326579970594209	-0.8210952253295831	True
111	bert-base-uncased	112	2.9430864814203233	3.7867162765968323	-0.843629795176509	True
112	bert-base-uncased	113	4.322030662845534	5.334017754174196	-1.0119870913286624	True
113	bert-base-uncased	114	4.75963966125206	5.924072519231301	-1.1644328579792411	True
114	bert-base-uncased	115	5.047822901549248	7.026689741760492	-1.9788668402112446	True
115	bert-base-uncased	116	3.7282906560493365	4.37504978065512	-0.6467591246057833	True
116	bert-base-uncased	117	3.1382851196186885	3.6418096870183945	-0.503524567399706	True
117	bert-base-uncased	118	3.8577390408879313	4.818679961775031	-0.9609409208870994	True
118	bert-base-uncased	119	3.7795726380177905	5.134258308580944	-1.3546856705631534	True
119	bert-base-uncased	120	4.283618462271988	5.453368476458958	-1.1697500141869694	True
120	bert-base-uncased	121	4.049312498491558	4.864317820658191	-0.8150053221666331	True
121	bert-base-uncased	122	4.112719229171769	5.578223669471649	-1.4655044402998803	True
122	bert-base-uncased	123	4.313681704995151	5.347796509758784	-1.0341148047636333	True
123	bert-base-uncased	124	2.9018913821450303	4.0953176606978685	-1.1934262785528382	True
124	bert-base-uncased	125	3.730020263592171	3.8320156994439176	-0.10199543585174675	True
125	bert-base-uncased	126	4.2644749027310285	5.4952961087949985	-1.23082120606397	True
126	bert-base-uncased	127	4.5080470439369	4.879896538147407	-0.3718494942105073	True
127	bert-base-uncased	128	2.9009637332492275	2.9664928594814097	-0.06552912623218221	True
128	bert-base-uncased	129	3.689087090566038	4.43969259219459	-0.7506055016285522	True
129	bert-base-uncased	130	4.420962229151953	5.152723181401738	-0.7317609522497852	True
130	bert-base-uncased	131	4.3036791095510125	5.120790666112533	-0.8171115565615201	True
131	bert-base-uncased	132	2.858305038859336	3.6046542362642606	-0.7463491974049248	True
132	bert-base-uncased	133	4.098691831450337	5.177853344438168	-1.079161512987831	True
133	bert-base-uncased	134	4.770619811790171	5.95865829088367	-1.1880384790934988	True
134	bert-base-uncased	135	4.627679005372697	6.824044486149573	-2.196365480776876	True
135	bert-base-uncased	136	3.276428533584944	3.9415575929784348	-0.6651290593934909	True
136	bert-base-uncased	137	3.058666438928672	3.5828928064022745	-0.5242263674736023	True
137	bert-base-uncased	138	3.8153413870771016	4.74703676599477	-0.9316953789176687	True
138	bert-base-uncased	139	3.446892441582999	5.006078868838293	-1.5591864272552942	True
139	bert-base-uncased	140	3.904937594862921	5.336187966167927	-1.4312503713050058	True
140	bert-base-uncased	141	3.6834457023617757	4.415719222850525	-0.7322735204887492	True
141	bert-base-uncased	142	3.901019919054726	5.346077042775085	-1.445057123720359	True
142	bert-base-uncased	143	3.9934567901520777	4.971146227648625	-0.9776894374965477	True
143	bert-base-uncased	144	2.5995995977095196	3.7180528984005963	-1.1184533006910766	True
144	bert-base-uncased	145	3.394297600605149	3.4031699552545502	-0.00887235464940117	True
145	bert-base-uncased	146	4.135352636628131	5.366083678334969	-1.2307310417068384	True
146	bert-base-uncased	147	4.307341027698175	4.5366940400954965	-0.2293530123973211	True
147	bert-base-uncased	148	2.5121771239287876	2.512821365657146	-0.00064424172835853	True
148	bert-base-uncased	149	3.574562550182096	4.3087700098179855	-0.7342074596358894	True
149	bert-base-uncased	150	4.332876491122499	4.978107649188202	-0.6452311580657035	True
150	bert-base-uncased	151	4.480311712053103	5.155995027233775	-0.675683315180672	True
151	bert-base-uncased	152	2.6849319169497385	3.463454020093195	-0.7785221031434566	True
152	bert-base-uncased	153	4.04003271041438	5.109767265689488	-1.069734555275108	True
153	bert-base-uncased	154	4.650900790514872	5.774672835456351	-1.1237720449414788	True
154	bert-base-uncased	155	4.6012538699075005	6.863531744680726	-2.2622778747732255	True
155	bert-base-uncased	156	3.239830272139183	3.826625870208123	-0.5867955980689397	True
