	model	pairid	expected	unexpected	diff	acc
0	bert-base-uncased	1	12.73205665498972	15.779308239618937	-3.047251584629217	True
1	bert-base-uncased	2	10.144929523269335	15.515798250834147	-5.370868727564812	True
2	bert-base-uncased	3	12.486179891973734	14.351435462633768	-1.8652555706600342	True
3	bert-base-uncased	4	10.207977233454585	15.497231125831604	-5.289253892377019	True
4	bert-base-uncased	5	9.943740345537663	15.087785631418228	-5.144045285880566	True
5	bert-base-uncased	6	9.852289538830519	15.292964220046997	-5.440674681216478	True
6	bert-base-uncased	7	10.25881202891469	16.787446320056915	-6.528634291142225	True
7	bert-base-uncased	8	12.543409632829329	16.77743697166443	-4.2340273388351	True
8	bert-base-uncased	9	9.345281115422646	16.799718618392944	-7.454437502970299	True
9	bert-base-uncased	10	12.803462309762836	16.394667387008667	-3.5912050772458315	True
10	bert-base-uncased	11	9.971724523231387	16.370953023433685	-6.399228500202298	True
11	bert-base-uncased	12	10.802021630108356	16.845884189009666	-6.04386255890131	True
12	bert-base-uncased	13	8.412072755396366	13.587491393089294	-5.175418637692928	True
13	bert-base-uncased	14	9.802076421678066	15.90920740365982	-6.107130981981754	True
14	bert-base-uncased	15	13.436979655797282	17.385389010111492	-3.94840935431421	True
15	bert-base-uncased	16	9.880056674281755	18.096081733703613	-8.216025059421858	True
16	bert-base-uncased	17	13.849640643845001	16.66432746251424	-2.814686818669239	True
17	bert-base-uncased	18	12.634819332510233	18.798231810331345	-6.163412477821112	True
18	bert-base-uncased	19	11.107865005731583	15.95079579949379	-4.842930793762207	True
19	bert-base-uncased	20	11.51854083687067	16.516338109970093	-4.9977972730994225	True
20	bert-base-uncased	21	11.987129405140877	17.162215173244476	-5.1750857681035995	True
21	bert-base-uncased	22	12.484143863121668	15.65709114074707	-3.1729472776254024	True
22	bert-base-uncased	23	10.848307291666666	17.187912940979004	-6.339605649312338	True
23	bert-base-uncased	24	12.74630513538917	15.843226035435995	-3.0969209000468254	True
24	bert-base-uncased	25	11.033388681709766	16.179093033075333	-5.145704351365566	True
25	bert-base-uncased	26	9.738937765359879	13.762745961546898	-4.023808196187019	True
26	bert-base-uncased	27	9.432354640215635	14.02238729596138	-4.590032655745745	True
27	bert-base-uncased	28	11.01317374408245	16.08595621585846	-5.072782471776009	True
