model	type	mean_acc
google-bert/bert-base-multilingual-cased	results subj rel bypair	0.666875
google-bert/bert-base-multilingual-cased	results prep anim bypair	0.5651785714285714
google-bert/bert-base-multilingual-cased	results simple agrmt bypair	0.7714285714285715
google-bert/bert-base-multilingual-cased	results obj rel across anim bypair	0.5630357142857143
google-bert/bert-base-multilingual-cased	results vp coord bypair	0.8928571428571429
google-bert/bert-base-multilingual-cased	results long vp coord bypair	0.82
google-bert/bert-base-multilingual-cased	results obj rel within anim bypair	0.6251785714285715
