model	type	mean_acc
google-bert/bert-base-multilingual-cased	results subj rel bypair	0.7481150793650794
google-bert/bert-base-multilingual-cased	results prep anim bypair	0.8100340136054421
google-bert/bert-base-multilingual-cased	results simple agrmt bypair	0.8142857142857143
google-bert/bert-base-multilingual-cased	results obj rel across anim bypair	0.8141071428571428
google-bert/bert-base-multilingual-cased	results vp coord bypair	0.8397959183673469
google-bert/bert-base-multilingual-cased	results long vp coord bypair	0.942
google-bert/bert-base-multilingual-cased	results obj rel within anim bypair	0.8461607142857143
