model	type	mean_acc
google-bert/bert-base-multilingual-cased	results subj rel bypair	0.5644642857142858
google-bert/bert-base-multilingual-cased	results prep anim bypair	0.6546428571428572
google-bert/bert-base-multilingual-cased	results simple agrmt bypair	0.7892857142857143
google-bert/bert-base-multilingual-cased	results obj rel across anim bypair	0.711875
google-bert/bert-base-multilingual-cased	results vp coord bypair	0.8520408163265306
google-bert/bert-base-multilingual-cased	results long vp coord bypair	0.952
google-bert/bert-base-multilingual-cased	results obj rel within anim bypair	0.81375
